CustomerID,Recency,Frequency,Monetary,Cluster
1,66,14,9022.87,2
2,7,10,6005.24,0
3,222,9,5937.01,3
4,48,10,4497.65,0
5,10,15,5507.62,2
6,225,4,2047.9,3
7,36,11,6077.98,0
8,67,14,5737.49,2
9,2,9,4002.23,0
10,36,9,3693.83,0
11,112,7,4597.57,1
12,61,18,11760.8,2
13,110,10,4261.73,0
14,39,14,6055.13,2
15,116,9,6674.22,0
16,205,6,2812.79,3
17,14,12,5586.85,0
18,49,4,1230.94,1
19,100,10,4768.05,0
20,114,13,5234.58,0
21,2,12,5822.23,0
22,141,9,6625.23,0
23,32,8,3775.16,1
24,58,4,1906.62,1
25,56,14,6421.98,2
26,52,9,5655.8,0
27,0,7,2900.47,1
28,45,10,8374.4,2
29,165,10,3503.85,3
30,20,8,3650.79,1
31,246,5,2791.12,3
32,443,5,3272.6,3
33,41,4,2026.37,1
34,0,8,3301.46,1
35,70,15,5316.58,2
36,83,10,5967.53,0
37,23,10,5277.74,0
38,21,11,5673.65,0
39,85,19,9614.12,2
40,2,9,4574.53,0
41,119,13,4850.31,0
42,12,15,7896.1,2
43,159,7,3460.54,3
44,101,9,6212.09,0
45,31,6,3989.04,1
46,72,10,5418.88,0
47,4,16,8712.1,2
48,31,6,2269.8,1
49,27,13,6885.01,2
50,34,8,4080.87,1
51,14,14,7452.68,2
52,65,6,4129.6,1
53,48,9,2201.18,1
54,98,11,3572.85,0
55,43,9,5587.49,0
56,42,5,2488.59,1
57,97,6,4328.12,1
58,56,10,4704.92,0
59,28,12,5930.13,0
60,2,10,7111.86,0
61,177,10,3992.61,3
62,10,11,4657.61,0
63,4,15,6481.58,2
64,84,6,2538.92,1
65,33,9,4642.24,0
66,1,11,2930.23,0
67,22,9,4351.84,0
68,65,9,6687.96,0
69,13,13,6635.07,2
70,98,9,4905.33,0
71,47,2,582.61,1
72,1,12,6614.39,0
73,283,10,4070.44,3
74,12,5,2993.71,1
75,37,14,7129.1,2
76,83,13,5479.25,0
77,123,6,4981.26,1
78,53,9,1998.68,1
79,193,6,3740.07,3
80,183,5,4067.23,3
81,39,9,4303.32,0
82,4,12,5995.66,0
83,234,5,3390.0,3
84,31,15,5875.56,2
85,47,5,3534.21,1
86,18,14,6879.26,2
87,30,9,3420.37,0
88,178,4,2311.08,3
89,152,10,3713.21,3
90,25,14,9118.21,2
91,124,3,219.85,1
92,10,14,7129.54,2
93,153,9,3601.08,3
94,143,3,1948.27,1
95,80,10,6229.07,0
96,15,9,6191.92,0
97,56,7,6079.02,0
98,10,12,5851.45,0
99,194,15,7744.7,2
100,4,9,4206.97,0
101,15,15,7386.68,2
102,23,10,3009.41,0
103,8,8,4403.95,0
104,2,13,6060.72,0
105,59,7,4355.75,1
106,102,10,7998.47,2
107,100,9,6522.94,0
108,19,12,5435.76,0
109,79,11,5694.8,0
110,10,5,2446.06,1
111,21,15,8381.07,2
112,30,8,5236.0,0
113,44,18,10168.2,2
114,266,9,5036.12,3
115,12,6,4174.06,1
116,37,10,5556.16,0
117,81,16,11760.91,2
118,228,14,5661.27,3
119,72,10,5796.36,0
120,42,11,5411.81,0
121,26,8,5676.71,0
122,9,12,5507.66,0
123,202,5,4138.61,3
124,48,10,5542.62,0
125,77,10,6955.91,0
126,16,13,4877.62,0
127,200,11,7350.72,3
128,73,12,7264.9,2
129,13,11,4252.84,0
130,2,14,7295.7,2
131,2,12,7411.32,2
132,128,8,2550.41,1
133,124,12,7559.86,2
134,108,11,8990.15,2
135,328,5,3397.4,3
136,28,13,5345.4,0
137,47,8,2843.72,1
138,70,7,3310.41,1
139,35,6,3962.32,1
140,8,5,3841.26,1
141,81,11,8820.1,2
142,49,10,5055.27,0
143,4,14,8872.68,2
144,43,13,7272.44,2
145,47,13,5631.8,0
146,39,12,7293.84,2
147,54,18,8376.98,2
148,30,13,5961.79,0
149,12,14,6594.88,2
150,118,10,6445.99,0
151,108,10,5243.1,0
152,49,18,10894.89,2
153,1,11,5731.07,0
154,5,18,9500.22,2
155,6,7,4249.55,1
156,53,9,5538.57,0
157,127,10,7819.21,0
158,28,15,7572.03,2
159,65,6,1833.44,1
160,33,17,6388.16,2
161,21,17,9162.0,2
162,13,9,3511.12,0
163,49,12,6630.56,0
164,13,15,8607.22,2
165,26,10,2751.06,0
166,72,7,6037.22,0
167,36,8,4593.94,0
168,162,7,6240.8,3
169,127,6,3499.83,1
170,226,11,6635.76,3
171,113,6,1935.69,1
172,55,11,3517.54,0
173,129,17,8240.98,2
174,181,8,4578.53,3
175,91,9,8636.2,2
176,200,9,6138.89,3
177,49,12,4982.64,0
178,36,12,8233.28,2
179,56,9,4492.4,0
180,180,8,4187.34,3
181,64,8,2291.11,1
182,77,6,2989.12,1
183,66,12,9798.16,2
184,16,10,6199.26,0
185,213,3,1412.55,3
186,20,8,2784.48,1
187,62,7,4757.14,1
188,72,17,9071.52,2
189,53,7,3179.25,1
190,0,13,7375.75,2
191,80,10,9779.1,2
192,5,17,10831.83,2
193,319,5,2586.13,3
194,124,8,5941.03,0
195,117,8,5152.09,0
196,87,13,7114.59,2
197,32,4,1041.89,1
198,9,13,11377.66,2
199,118,6,3392.73,1
200,44,5,1614.99,1
201,80,12,7811.87,2
202,21,12,5748.87,0
203,90,9,6425.02,0
204,3,6,5016.69,1
205,72,4,1829.26,1
206,162,7,2172.82,3
207,32,6,1682.24,1
208,105,8,3216.97,1
209,234,5,1661.18,3
210,165,8,6554.1,3
211,305,6,1695.79,3
212,474,4,1657.4,3
213,5,13,7607.97,2
214,26,13,4204.19,0
215,10,14,6203.9,2
216,31,12,6706.13,0
217,32,11,5034.01,0
218,105,12,7837.73,2
219,290,6,2177.88,3
220,17,14,6506.3,2
221,44,6,3497.17,1
222,29,10,2972.58,0
223,42,14,9808.56,2
224,24,13,6737.91,2
225,10,10,5101.48,0
226,17,13,8149.05,2
227,41,17,9006.04,2
228,119,10,6662.2,0
229,135,13,7545.62,2
230,169,5,2003.73,3
231,68,12,7295.34,2
232,72,9,4611.85,0
233,37,14,6583.15,2
234,56,6,3391.74,1
235,48,6,3428.79,1
236,10,10,5584.98,0
237,10,11,7107.96,0
238,132,7,4118.89,1
239,14,12,4776.22,0
240,2,6,1932.41,1
241,168,6,3557.44,3
242,7,11,6340.6,0
243,205,10,5163.22,3
244,112,4,1083.29,1
245,62,6,3801.38,1
246,206,9,5575.47,3
247,26,11,5316.91,0
248,146,5,2169.93,1
249,55,9,3541.39,0
250,193,11,5387.61,3
251,62,13,8763.58,2
252,2,11,7292.02,0
253,69,8,6263.37,0
254,51,10,5939.6,0
255,121,7,2213.76,1
256,46,8,5813.36,0
257,16,10,2442.02,1
258,51,10,7003.58,0
259,94,12,8564.25,2
260,73,14,9904.36,2
261,96,11,4818.86,0
262,93,12,6394.09,0
263,29,7,2492.71,1
264,49,17,8141.09,2
265,81,8,5155.77,0
266,9,8,3803.45,1
267,15,13,3901.92,0
268,20,15,8632.96,2
269,77,9,4150.53,0
270,17,9,5625.02,0
271,80,11,6797.36,0
272,88,5,2240.93,1
273,3,12,7876.62,2
274,37,6,4988.59,1
275,134,10,4962.69,0
276,48,5,1973.57,1
277,30,16,6496.55,2
